merge_id,cuisine_id
7100660384102958e3,D9w1q
7100660384102958e3,O1g2m
7111371280104272e3,G4g0t
7189632004259545e3,G4g0t
7212983035195482e3,H8r1n
7221233496190652e3,L9g7u
7221233496190652e3,O3l0h
7253613836521655e3,O3l0h
7256128257387934e3,G4g0t
7306561766255881e3,G4g0t
7.3131303293705605e+018,G4g0t
7353769509294404e3,G4g0t
7357778693401148e3,S6f6r
7389161109884901e3,B7t7d
7421409424390998e3,D9w1q
7541770659892402e3,O3l0h
7541770659892402e3,D9w1q
7568165681772176e3,G4g0t
7598962454820404e3,O3l0h
7676482796797398e3,X0l8a
7676482796797398e3,B6u5n
768514709619434e4,H8r1n
7730235488368093e3,B6u5n
7905219354362843e3,D9w1q
7927918258438939e3,G4g0t
7927918258438939e3,O3l0h
7949451578063913e3,O3l0h
7986917064712813e3,Z7q6t
7987505217723014e3,H8r1n
798963565274428e4,D9w1q
8018556375214818e3,O3l0h
8018556375214818e3,D9w1q
8062142937318559e3,G4g0t
8062142937318559e3,B6u5n
8099021569355182e3,B6u5n
8125281197704686e3,O1g2m
8125281197704686e3,B6u5n
8131907432767692e3,B7t7d
8202042694805926e3,I1w3k
8202042694805926e3,X0l8a
8202042694805926e3,B6u5n
8207496078150552e3,H8r1n
8207496078150552e3,D9w1q
8207496078150552e3,B6u5n
8227107229245018e3,I1w3k
8236302536905262e3,H8r1n
8326056321816351e3,D9w1q
8365543376634325e3,O3l0h
8415114190347767e3,H8r1n
8415114190347767e3,B6u5n
8499266861897934e3,O3l0h
8499266861897934e3,D9w1q
8518880450811339e3,Z7q6t
852808290749531e4,H8r1n
852808290749531e4,O3l0h
852808290749531e4,D9w1q
857064114600955e4,G4g0t
857064114600955e4,O3l0h
8575600807339559e3,D9w1q
8605959584296316e3,G4g0t
8630887425198035e3,D9w1q
8682716629384367e3,L9g7u
8682716629384367e3,K4r5e
871553771032069e4,B7t7d
872984325001112e4,U5n4c
8754193683497364e3,X9k8b
8754193683497364e3,D9w1q
8879908912670102e3,O3l0h
8881360170221136e3,I1w3k
8881360170221136e3,H8r1n
8881360170221136e3,X6b6q
8898506577317687e3,B7t7d
8898506577317687e3,G4g0t
8898506577317687e3,O3l0h
8898506577317687e3,D9w1q
8980728628065208e3,B7t7d
9073458987151887e3,G4g0t
9109628961300848e3,K4r5e
9111802159654974e3,O1g2m
9132029642238074e3,I1w3k
9132029642238074e3,Y7v6a
9132029642238074e3,O3l0h
9153495070810782e3,X6b6q
9153495070810782e3,G4g0t
9153495070810782e3,S6f6r
9153495070810782e3,K4r5e
9153495070810782e3,D9w1q
915641645656127e4,D9w1q
9247538084703476e3,B7t7d
9266076491312208e3,O3l0h
9266076491312208e3,D9w1q
9282739262104785e3,O1g2m
928398165186381e4,G4g0t
9296479583524123e3,G4g0t
9327271848780018e3,O3l0h
9327271848780018e3,D9w1q
9380909121715874e3,K4r5e
9403419818342128e3,Y7v6a
9403419818342128e3,K4r5e
9403419818342128e3,Z7q6t
9476818592599835e3,B6u5n
9492002407492127e3,O3l0h
9509174909775729e3,G4g0t
9549511765567902e3,D9w1q
9567801477241e6,H8r1n
9567801477241e6,U5n4c
9567801477241e6,B6u5n
9694269571489757e3,G4g0t
9701308123150672e3,Y3a1u
9847708135568026e3,G4g0t
9918915115651506e3,D9w1q
9924948110277159e3,O3l0h
993001659797044e4,I1w3k
993001659797044e4,X6b6q
993001659797044e4,Y7v6a
993001659797044e4,S6f6r
993001659797044e4,O3l0h
993001659797044e4,Z7q6t
9941751519878463e3,X0l8a
9972102249822958e3,Y4m4f
9972102249822958e3,Z7q6t
9972102249822958e3,B6u5n
998872940846348e4,B7t7d
998872940846348e4,D9w1q
10001586827552582e3,X6b6q
10001586827552582e3,Y7v6a
10031153786342898e3,B7t7d
10130855464338729e3,D9w1q
10140168368592007e3,O3l0h
10140168368592007e3,D9w1q
10145244416962406e3,K4r5e
10145244416962406e3,D9w1q
10159382316137292e3,G4g0t
10181410485157976e3,Y4m4f
10217269203692243e3,Y3a1u
10217269203692243e3,B7t7d
10217269203692243e3,S6f6r
10217269203692243e3,D9w1q
10217269203692243e3,B6u5n
10244622878565728e3,H8r1n
1.0295908973408641e+019,K4r5e
102984024885886e5,H8r1n
102984024885886e5,X6b6q
102984024885886e5,Y7v6a
10353351662804406e3,D9w1q
10356597046759227e3,B7t7d
10356597046759227e3,O1g2m
1037026050942985e4,G4g0t
1039979273804798e4,H8r1n
1039979273804798e4,D9w1q
10449446903784735e3,G4g0t
10449446903784735e3,B6u5n
1046463236752695e4,D9w1q
10476471759549129e3,S6f6r
10476471759549129e3,O3l0h
10524016106299177e3,B7t7d
10524016106299177e3,X9k8b
10576540992001917e3,G4g0t
10660948658036177e3,O3l0h
10824333758913624e3,G4g0t
10858541800052247e3,B6u5n
1088500420264036e4,O3l0h
10932713663001102e3,B6u5n
10941504741387033e3,X9k8b
10969843541385703e3,B7t7d
11067252158761783e3,G4g0t
1107874201930583e4,G4g0t
1107874201930583e4,D9w1q
11208312687951278e3,I1w3k
11208312687951278e3,Y7v6a
11208312687951278e3,Z7q6t
11233900048586275e3,X0l8a
11233900048586275e3,B6u5n
11253319710941415e3,O1g2m
1127868817740632e4,I1w3k
1127868817740632e4,L6e1t
1127868817740632e4,X9k8b
1127868817740632e4,D9w1q
1129571347856017e4,O4i3b
11337975312242594e3,H8r1n
11337975312242594e3,U5n4c
11368257517498724e3,B7t7d
11368257517498724e3,O4i3b
11368257517498724e3,D9w1q
11390449781412723e3,B7t7d
11390449781412723e3,B6u5n
11391150820889805e3,G4g0t
11405395999264723e3,D9w1q
11429045506678913e3,G4g0t
11475478972569709e3,B7t7d
11475478972569709e3,B6u5n
11488023374467054e3,O3l0h
11490377812127748e3,D9w1q
11504947836773706e3,X9k8b
11515406176752853e3,G4g0t
11517204046659942e3,S6f6r
11554328703211082e3,K4r5e
11554328703211082e3,D9w1q
1158055056808978e4,B7t7d
1158055056808978e4,D9w1q
11583292549218922e3,B6u5n
11694061905212436e3,O3l0h
11731164322489768e3,B7t7d
11742054857045703e3,D9w1q
1174844158622868e4,H8r1n
1174844158622868e4,X9k8b
11791114913147777e3,O3l0h
11791114913147777e3,B6u5n
1179165051091082e4,O3l0h
1179165051091082e4,D9w1q
11802452709585046e3,D9w1q
11808143713305076e3,D9w1q
11821644374075984e3,I1w3k
11821644374075984e3,X6b6q
