merge_id,atmosphere_id
6665363827499426e3,6
6707395082893701e3,13
6759034250337985e3,26
6767548344098302e3,12
6767548344098302e3,6
6818570841896133e3,26
6818570841896133e3,4
6826227859461409e3,6
6826227859461409e3,8
6940617323993418e3,6
6958433423450862e3,21
6958433423450862e3,30
7012008676909421e3,16
7012008676909421e3,6
7012008676909421e3,8
7054538090916717e3,12
7054538090916717e3,6
7077460856892052e3,17
7077460856892052e3,26
7077460856892052e3,6
7077460856892052e3,8
7111632069838367e3,29
7212983035195482e3,26
7221233496190652e3,11
7221233496190652e3,6
7256128257387934e3,12
7256128257387934e3,5
7256128257387934e3,6
7256128257387934e3,8
7321628803713196e3,26
7321628803713196e3,6
7358927747455667e3,23
7390893742864077e3,26
7390893742864077e3,5
751447482829973e4,30
7568165681772176e3,21
7568165681772176e3,25
7598962454820404e3,11
7598962454820404e3,23
7598962454820404e3,6
7676482796797398e3,21
768514709619434e4,22
7730235488368093e3,21
7730235488368093e3,29
7743519333962006e3,22
7837498078102286e3,12
7837498078102286e3,23
7837498078102286e3,24
7837498078102286e3,6
784795336986755e4,21
7882716213581491e3,4
7905219354362843e3,12
7927918258438939e3,25
7928900669318999e3,23
7949451578063913e3,11
7949451578063913e3,23
7949451578063913e3,24
7949451578063913e3,25
7949451578063913e3,6
7986917064712813e3,15
7986917064712813e3,26
7987505217723014e3,21
7987505217723014e3,26
8008319378092574e3,25
8018556375214818e3,23
8018556375214818e3,6
8099021569355182e3,12
8099021569355182e3,24
8125281197704686e3,21
8149812968643744e3,23
8149812968643744e3,6
8202042694805926e3,24
8207496078150552e3,1
8207496078150552e3,23
8207496078150552e3,4
8207496078150552e3,6
8207496078150552e3,8
8208182733544678e3,24
8227107229245018e3,2
8241890292284835e3,11
8241890292284835e3,22
8241890292284835e3,23
8241890292284835e3,24
8290880429618719e3,26
8363189690439371e3,8
8366332654614671e3,21
8366332654614671e3,23
8400598106444054e3,23
8400598106444054e3,24
8400598106444054e3,6
8415114190347767e3,21
8415114190347767e3,26
8415114190347767e3,30
8419940264026459e3,6
8426355565606238e3,25
8442061985427532e3,2
8499266861897934e3,11
8499266861897934e3,23
8499266861897934e3,24
852808290749531e4,23
857064114600955e4,2
857064114600955e4,30
8604990786686458e3,21
8604990786686458e3,30
8605959584296316e3,11
8605959584296316e3,6
8676164160175657e3,21
8676164160175657e3,22
8676164160175657e3,30
8682716629384367e3,19
8682716629384367e3,6
8682716629384367e3,8
8685625797346413e3,21
871553771032069e4,11
871553771032069e4,21
872984325001112e4,26
8754193683497364e3,1
8754193683497364e3,21
8756478835201588e3,22
8775365705250958e3,21
8783464074286889e3,23
8881360170221136e3,26
8881360170221136e3,8
8898506577317687e3,11
8898506577317687e3,24
8898506577317687e3,6
8972898520981059e3,26
8980728628065208e3,21
9109628961300848e3,19
9111802159654974e3,21
9111802159654974e3,29
9132029642238074e3,21
9153495070810782e3,19
9153495070810782e3,24
9153495070810782e3,6
9153495070810782e3,8
915641645656127e4,15
915641645656127e4,23
915641645656127e4,24
9161656089474039e3,11
9161656089474039e3,21
9161656089474039e3,29
9161656089474039e3,6
9219024794186424e3,13
9219024794186424e3,23
9219024794186424e3,5
9219024794186424e3,6
9247538084703476e3,11
9282739262104785e3,11
9282739262104785e3,21
928398165186381e4,11
928398165186381e4,24
9296479583524123e3,6
934619761879947e4,12
9380909121715874e3,19
9380909121715874e3,2
9380909121715874e3,4
9403419818342128e3,19
9403419818342128e3,3
9411867588496669e3,21
9476818592599835e3,21
9476818592599835e3,29
9492002407492127e3,6
9538577321854093e3,12
9538577321854093e3,26
9538577321854093e3,5
9549511765567902e3,22
9549511765567902e3,23
9549511765567902e3,24
9549511765567902e3,6
9567801477241e6,17
9567801477241e6,26
9567801477241e6,6
9575912537422352e3,21
9580050428671384e3,12
9580050428671384e3,6
9601759448946788e3,2
962072458353428e4,12
962072458353428e4,6
9620841134713942e3,12
9649394530604374e3,25
9659250808756005e3,20
9694269571489757e3,11
9703492787511929e3,21
9828014380025477e3,21
9829291564787755e3,26
9829291564787755e3,3
9829291564787755e3,6
9833219823576703e3,21
9847708135568026e3,21
9847708135568026e3,30
9865121918457393e3,2
9924948110277159e3,11
9924948110277159e3,23
993001659797044e4,26
9941751519878463e3,24
9941751519878463e3,26
9972102249822958e3,15
9972102249822958e3,21
9972102249822958e3,6
9999353232197777e3,6
10001586827552582e3,26
10140168368592007e3,24
10145244416962406e3,11
10145244416962406e3,19
10145244416962406e3,24
10165377230697964e3,21
10165377230697964e3,30
10181410485157976e3,24
10181410485157976e3,30
10188454498255497e3,24
10217269203692243e3,23
10217269203692243e3,25
10217269203692243e3,27
1.0295908973408641e+019,11
1.0295908973408641e+019,19
1.0295908973408641e+019,23
1.0295908973408641e+019,24
1.0295908973408641e+019,6
102984024885886e5,26
10312479411479755e3,11
10312479411479755e3,6
10353351662804406e3,11
10353351662804406e3,25
10356597046759227e3,21
1039960492313099e4,6
1039979273804798e4,1
1039979273804798e4,16
10449446903784735e3,1
10449446903784735e3,24
10449446903784735e3,25
1046463236752695e4,12
1046463236752695e4,24
1046463236752695e4,6
10465309881729649e3,21
10476471759549129e3,10
10476471759549129e3,12
10476471759549129e3,23
10476471759549129e3,24
10476471759549129e3,6
10476471759549129e3,9
10524016106299177e3,2
10576540992001917e3,6
10603253371679685e3,26
10706659237825667e3,22
10706659237825667e3,5
10706659237825667e3,6
10717332993012314e3,24
10764365346972457e3,10
10764365346972457e3,9
10776765227669406e3,11
10776765227669406e3,5
10820016253198094e3,6
10824333758913624e3,23
10858541800052247e3,21
10858541800052247e3,29
1088500420264036e4,22
10912491579475694e3,22
10922167891295463e3,12
10932713663001102e3,21
10937555999449879e3,24
10969843541385703e3,12
10969843541385703e3,21
10969843541385703e3,6
10975398658975724e3,6
1107874201930583e4,23
1107874201930583e4,25
1107874201930583e4,8
11093555071513502e3,12
11113079739335135e3,10
11113079739335135e3,9
11208312687951278e3,21
11233900048586275e3,11
11233900048586275e3,21
11253319710941415e3,20
1126951204160829e4,11
1126951204160829e4,6
1127868817740632e4,26
1127868817740632e4,3
11297560527544015e3,6
11300522270109737e3,12
1132914856125271e4,21
1132914856125271e4,26
11337842983017857e3,24
11337842983017857e3,6
11337975312242594e3,26
11337975312242594e3,6
11337975312242594e3,8
11368257517498724e3,11
11368257517498724e3,16
11368257517498724e3,26
11368257517498724e3,30
11368257517498724e3,6
11390449781412723e3,21
11391150820889805e3,11
11391150820889805e3,24
11391150820889805e3,6
11403269818290729e3,12
