reviewerId,atmosphere_id
90318A0EEF0DFE47659BD6D4558636B3,12
105018782091502200120,6
ABFE296BAA4A8ADA7156FB612E4193BE,23
BCA6AF476A079B69C39D3247A17ADC57,12
2B8FC1EFB5CD2BB3B690D29575DBAA7F,29
9150EB7F935BF4E9B0EAE223B82674D9,19
114786129416291995356,6
BE22EAAE5CF1B2ADE20179A3B43BFCEA,25
C56EE7962E5C4677E052ACD06E48E345,6
780DC48858680414D08FC6D9D6ECD8DB,26
107546241461495856923,23
02E749D27DB1E2A8B906649C7A951EFA,3
93A68F2229BD06390A941C34A19FFC39,6
114815160705477302438,21
114815160705477302438,16
114815160705477302438,8
0497DD8AE46EE24AE132112A397C19AE,21
8F0CC9F35C215AA6B42FA46CD4999AD6,21
104920785800623358240,26
03FD2701C63B111C5763AB6A85C1BA7F,25
2BA70A8FCCB2B902FDA5607513A6F29C,30
5AF454524E5662E0BC0A9E1DAC0B263A,21
xmMevhYFo04bu9KdCeJ64Q,11
8217FC964205AD84CCB106730AC46078,24
04C11992D4CAF9D542EADCCC87053309,24
5A8E09FBE6C0F435BEA2F42F03562719,24
102811483544460204037,3
102811483544460204037,8
102811483544460204037,12
6729FF9F3C4FDA879926275FDBA736BD,16
B6B31EE82DBCBABC92AA7F0586D49788,30
012C6D8A3FE8BA0B172630FC8F887F7F,21
012C6D8A3FE8BA0B172630FC8F887F7F,21
973BABE69981CA150CFAE5828292147A,6
116419880062525633253,24
7BD35CD772E187A517E350528DEB3645,23
113050349008335010744,5
92E77249B895D3184898891AB8A76367,23
59000819ECC2C60E43D4B4167AE70844,11
108096261051092302773,6
55D30E290A882B645805E6868AA48D2F,6
101901235159550326965,6
HwdQwh5WcpwNPqOcz54MxQ,26
3339F64732BD9BEC40D9881CBE34DB82,26
109905753051572822483,6
4579EAB5867549C69152E5A0B47D84E7,21
96B3AF5C5B9E18AC77EDB74AAC809144,26
F2ACF7A882F8BE4BA915E973256E0AAB,23
Ff2GdWX5-dIBEshaDVFXZQ,26
y83ue0iFzDH4lOmzk_WlBA,1
116883032326549799420,24
A3AD97481324BBD473471FCFE6B79036,6
118294635012841739460,21
118294635012841739460,21
2D007FE20BD55B1782A72F5DE84BB09B,3
C4B1000AE0CC6F0E39BD9BE3CB232510,23
3AC56D55D9D4C2FFF3FC2FC501FCFAE9,23
BR14EDYLe3Qh8aqQ_pdnog,21
116649939091138425665,6
105753147654842875839,26
189C1BF4675CB1FFE0B97147D633E219,2
146E6B90FEE3B7D88841738C4DF550AF,2
146E6B90FEE3B7D88841738C4DF550AF,24
4F9BA50EB912E11905C1C4D467ADE048,15
105417173648861745221,1
114049519845471999787,21
891E39A19EEFFA54F38710BA54CA7511,26
115491773198964683212,24
45FE9D8CA212E7B2EBC4CD3495D54694,23
111430447484955221056,26
5B5F7D36A144FC7B29E56F01F4280EE7,26
5B5F7D36A144FC7B29E56F01F4280EE7,26
D67AC3EA6C5E18993EA1B2BA95CF5520,23
108396141801445723021,26
108396141801445723021,26
108396141801445723021,26
