merge_id,biz_name
635883833431336e4,Casa Varela 1986
6370080553954378e3,Asian Ways (Paralelo)
6384868457510177e3,Il Mercante Di Venezia
6387343954764258e3,Inka Burg
6393507037301714e3,Piazze D Italia
6438091902629129e3,Terrazza Ravello
644021421351126e4,Bacoa
6462054730043648e3,Hidden Factory
6462990620087357e3,La Boqueria
6475172470704246e3,Bella Italia
6481171898698403e3,LAMUN CUINA THAI
6508449788479534e3,Amsterdam
6522841349610931e3,Sante Gelato By Renzo Paniccia
6523150652044791e3,La Estrella
6534103589611418e3,La Taverna De La Ronda
6545384898748205e3,Foc
6552379492064983e3,Miseria E Nobilta
6603539057382857e3,Llamber
6610180445533936e3,Aguelo Taberna
6665363827499426e3,Mediterrani
6707395082893701e3,Nevermind
6720043990569779e3,Can Fisher
6724674804710986e3,Kælderkold
6729657483744665e3,Citizen Cafe Brunch
6759034250337985e3,Monvinic
6767548344098302e3,PASSEIG
6818570841896133e3,Bar Mut
6940617323993418e3,Roma
6958433423450862e3,Ziryab Fusion Tapas
7012008676909421e3,La Prudencia Del Raval
7013971609326361e3,Bastaix
7054538090916717e3,McDonald S
7077460856892052e3,Angle
7084488651997203e3,BREAK BCN
7100660384102958e3,Malaysia
7111632069838367e3,Gilda By Belgious
7151562306502682e3,El Tall Iberic
7189632004259545e3,CACTUS CAFE
72179430223635e5,Bodega Amposta
7221233496190652e3,Tapes
7253613836521655e3,Bivio
7256128257387934e3,COMO Il Ristorantino
7.3131303293705605e+018,Closet
7353769509294404e3,La Tagliatella | CC. Las Arenas
7357778693401148e3,Jobs
7358927747455667e3,La Carmelina
7390893742864077e3,Casa Calvet
7421409424390998e3,Maitea Taberna
7470983997001334e3,Tandem
7477850461513016e3,Blai 9
7481131271710669e3,La Caleta De Sants
7541770659892402e3,Paella Boqueria
7568165681772176e3,Pasta Market
7598962454820404e3,Momo
7623538814848947e3,Diegos
768101364913047e4,El Callejon
7682281452701694e3,Palau de la Música Catalana
768514709619434e4,Dux
7730235488368093e3,The Dog Is Hot
7743519333962006e3,The Wild Rover Irish Pub
7837498078102286e3,La Foixarda
784795336986755e4,Manna Gelats
7882716213581491e3,Zarautz Taberna Vasca
7889337697306763e3,Braseria Pizzeria La Ribera
7905219354362843e3,La Alcoba Azul
7927918258438939e3,Mediterraneo Ristorante
7928900669318999e3,Tapeo Born
7949451578063913e3,Meson Barceloneta
7986917064712813e3,Nobu
798963565274428e4,La Pruna
8001219219863066e3,Pizza Circus
8008319378092574e3,Tartela
8018556375214818e3,Micu Maku
8028746409179588e3,Vic Braseria
8062142937318559e3,Maccaroni
8095126655421117e3,Bobby Gin
8099021569355182e3,Zed
8125281197704686e3,LA FABRICA
8131907432767692e3,Can Dende
8148554771718345e3,Bo de Boqueria
8202042694805926e3,Bombay Spicy
8207496078150552e3,La Pepita
8208182733544678e3,LaGranja.
8227107229245018e3,Camino Bites
8236302536905262e3,La Perillosa
8241890292284835e3,Arabia Cafe
8290880429618719e3,DIREKTE Boqueria
8326056321816351e3,Cafe De L Academia
8363189690439371e3,Berbena
8366332654614671e3,Pasapalo
8419940264026459e3,Sagardi BCN Gotic
8442061985427532e3,65 Degrees
8499266861897934e3,Colom
852808290749531e4,Sensi
857064114600955e4,Tuscania Food And Wine
8574534956735648e3,Restaurante La Boqueria
8575600807339559e3,Vivant
8604990786686458e3,Arepamundi
8630887425198035e3,El Vaso De Oro
8676164160175657e3,Cat CAT
8682716629384367e3,Fat Barbies Bailen
8685625797346413e3,Quimet &amp
871553771032069e4,Eqvilibrivm Cafe
8743361279952055e3,La Vinya Del Senyor
8754193683497364e3,Rosa Negra
8756478835201588e3,Al Bawadi
8775365705250958e3,Vegetariano
8783464074286889e3,Opium Barcelona
8788745257833722e3,Locavore
8881360170221136e3,The Alchemix
8898506577317687e3,Guell Tapas
8972898520981059e3,La Tartareria . Raw Food .
8980728628065208e3,Nolita
9073458987151887e3,Gallo Nero
9109628961300848e3,Orvay
9111802159654974e3,La Fabrica (Empanadas Argentinas)
9132029642238074e3,Ramen Ya Hiro
9153495070810782e3,BarcelonaMilano
915641645656127e4,El Xampanyet
9161656089474039e3,Cheese And Cake
9204513350173635e3,El Bosc de les Fades
9219024794186424e3,Feroz
9247538084703476e3,Milk & Bistro
9266076491312208e3,La Flauta
9282739262104785e3,Somewhere Aribau
9296479583524123e3,BelleBuon
9327271848780018e3,Ciutat Comtal
9328675283583957e3,RESTAURANT GAUDIM
934619761879947e4,Fa Patxoca
9380909121715874e3,La Cuina D En Garriga
9411867588496669e3,The Coffee House
9437507395508175e3,Renoi
9441228675722164e3,La Garriga
9476818592599835e3,GreenVita Healthy Kitchen
9488462938559906e3,Aula CETT
9492002407492127e3,Contempo
9492567651147432e3,Guixot
9509174909775729e3,Listo Restaurants Pizza Pasta Paella Tapas
9524959285937189e3,Gaudi Bakery
9538577321854093e3,Coure
9549511765567902e3,La Taverna De
9567801477241e6,Caelis
9575912537422352e3,Roast Club Specialty Coffee Roasters
9580050428671384e3,Caradura Maria Cubi
958928218441062e4,Belmonte
962072458353428e4,Dera
9649394530604374e3,Baluard Barceloneta
9659250808756005e3,We Bistrot
9694269571489757e3,La Balanza
9701308123150672e3,Garage Beer Co
9703492787511929e3,Bacoa Burger
980948172446349e4,Boldú
9811995654511847e3,Churrería Laietana
9828014380025477e3,Flaherty S Irish Pub
9829291564787755e3,Torre D Alta Mar
9833219823576703e3,Chok Carme
9847708135568026e3,Gocce Di Latte
9865121918457393e3,Cellarer Wine
9918915115651506e3,Maccabi
9924948110277159e3,Avinyo10
9941751519878463e3,Sindur Indian Cuisine
9972102249822958e3,Guanabara By El Rodizio
10001586827552582e3,Dos Palillos
10031153786342898e3,Panam 75
1011061589961108e4,Tantarantana
10130855464338729e3,Senyor Vermut
10140168368592007e3,El 9 Porro
10145244416962406e3,Palosanto
10159382316137292e3,Entre Hores
10181410485157976e3,Patagonia Beef & Wine
10217269203692243e3,Milk Bar &amp
10291494498543356e3,The Fish & Chips Shop
1.0295908973408641e+019,Casa Rafols
102984024885886e5,Brugarol
10353351662804406e3,Gata Mala
1039960492313099e4,Tejada Mar
1039979273804798e4,Bambarol
10449446903784735e3,Tucco Real Food Born
1046463236752695e4,Ca L Estevet
10465309881729649e3,La Central Hamburgueseria Laietana
104712484693147e5,Sala Apolo
10476471759549129e3,Mirandoalmar
10524016106299177e3,Bro
10576540992001917e3,Algrano Bistro
10603253371679685e3,AURT
10693272507134796e3,Los Barbados
10706659237825667e3,Vivo Tapes Cocteleria
10717332993012314e3,Aladdin
10740946090591265e3,Taps
10764365346972457e3,1881 Per Sagardi
10776765227669406e3,La Fonda
10820016253198094e3,El Rincon Steak House
10824333758913624e3,Italian District
10858541800052247e3,BON
1088500420264036e4,Lokal
10912491579475694e3,Brew Dog
10922167891295463e3,Marsella
10932713663001102e3,Surf House
10937555999449879e3,Casa Angela
10941504741387033e3,La Taberna De L Eixample Venezolanos
10969843541385703e3,Ascent
10975398658975724e3,J&R
1107874201930583e4,Macchina Pasta
11093555071513502e3,Starbucks
11144662800399385e3,La Torna
1117357203469867e4,Can Paixano
11188729076635079e3,Beer Linale
11208312687951278e3,Youme Sushi Eixample Dreta
11233900048586275e3,Swagatam Hindu
11253319710941415e3,Lamun Cuina Thai
1126951204160829e4,Gran Viana
1127868817740632e4,Volta Al Mon
1129571347856017e4,Elsa y Fred
11297560527544015e3,Entrepans Diaz
11300522270109737e3,Lluis De Les Moles
1132914856125271e4,Fonda Espanya
11337975312242594e3,Sants Es Crema
11368257517498724e3,Viana
11391150820889805e3,Mammamia
11403269818290729e3,Camping Mar
11429045506678913e3,Xemei
11460591206149296e3,Ca Meua
11475478972569709e3,Copasetic
11488023374467054e3,Portal De La Pau
11490377812127748e3,La Taberna Del Cobre
11504947836773706e3,Margarita Blue
11515406176752853e3,Fastuc
11517204046659942e3,Filigrana
11554328703211082e3,TocaTeca
11558842210152765e3,Bambu Beach
11563085212737247e3,Oria By Martin Berasategui
11572904791525444e3,La Tagliatella | Plaza Cataluna
1158055056808978e4,Casi
11583292549218922e3,L Autentic Lebanese
11668731150760088e3,Tucco Real Food Eixample
11670278529392198e3,Ekaterina
11678608080072956e3,Creps Av. Gaudi
11694061905212436e3,Peix D Or
11716405975910083e3,L'Ovella Negra
11731164322489768e3,A
1174844158622868e4,Beam
11776200627482214e3,La Colosal
11791114913147777e3,L Amfora
1179165051091082e4,El Dorado Chicken
11808143713305076e3,Arrosseria Las Arenas
1182128136718593e4,Komo En Kasa
11857295793333004e3,Veraz The EDITION
11870530312303522e3,Obe
11877763538299701e3,Leopoldo
11883150109522213e3,Fukamura
1198631822692645e4,Les Filles Cafe
12014709870162385e3,Toma Ya Street Food
12036265424138869e3,Lahore Authentic Halal Pakistani Food In
12039085070526159e3,Pulperia Can Lampazas
12050260881492982e3,CentOnze
12144024870679966e3,Xiloka
12156710557929296e3,Xapako
12175264932565131e3,Hanoi
1217957829286418e4,El Pebrot I El Petit Cargol
12224401739574841e3,Alkimia
1223166645975556e4,Creps Al Born
1224442140122377e4,Can Majo
12279539245834332e3,La Vinoteca Torres
12285142790023698e3,Suarna
12296675759439049e3,La Cava Cakery
12303185041279982e3,Zona D Ombra
12311413925825081e3,Atapa It
12328456624959205e3,El Trapio
12331863777399628e3,Made In Sicily
12343833333985024e3,9 Reinas
1.2391132713767039e+019,ARTiSA
12433821057005103e3,Xorus
12465546172988668e3,Sabes Una Cosa
12484116034820612e3,Kriminal Street FOOD BCN
1253098848771579e4,Bo De Boqueria
12543276776992004e3,Bilbao Berria
1261923150493784e4,El Salon
1263779816988e7,Mon Viet Vietnamita
12706272640000772e3,O'Toxo 3 Hermanos
12738154159257469e3,Zarautz
12743336591841694e3,Hollys Ice Cream
12749586200655503e3,Taktika Berri
12757496490756155e3,Babula 1937
12787576198369358e3,La Perla BCN
128042395722699e5,El Portalon
12827454169843116e3,Bistro Helena
12879381531439993e3,La Padrina
12893097256812978e3,Zelig
12893853877240404e3,9 Nine
12896083490206734e3,La Tasqueta De Blai
12903301369148522e3,CafeCosmo
12903421216736584e3,Madame
1291506854623071e4,Fismuler
12921518529334794e3,La Rioja
12929209845765673e3,Pasa Tapas
12944496170923508e3,Bologna Pizza
12979100074882845e3,The Market Peru
12989666947698889e3,Thai Zaap
1300427584416971e4,Nina
13007075027122018e3,Giorgio
13008808968553812e3,Nuestra Brasa Garibaldi
1302170133743165e4,Wild Beef
13026550781093147e3,Bitacora Barceloneta
13046760983745085e3,Cafe & Tapas
13074726866230755e3,Thai Spicy
13082985133694966e3,Brunch &amp
13113763798955645e3,Aji
1314609766080922e4,Parrilla Alfonsina
1315158417885805e4,Es Tastet
13187706747232018e3,Fenicia
13216731962136082e3,Cheriff
1321827414301164e4,Crudo
13228506398548e6,Sports Italian Food C. Ample
13238342879019151e3,Pura Brasa Arenas
132438757167884e5,Gourmet Sensi
13254062544668918e3,Cu Cut Taverna Gastronomica Enric Granados
1326166106286767e4,Caravelle
13267845521823631e3,Smash House Burger
13313430635373666e3,Donizetti
13330224283412457e3,Plat Unic
13335510097180615e3,El Raco De L Aguir
133382223358617e5,Tast Ller
1334647351759802e4,Taperia Princesa
13394386062285103e3,UMA
13405191051612594e3,La Tagliatella | Enric Granados
13448935291809575e3,O Meu Lar
1347974799997846e4,Raffaelli Ristorante Italiano
13486599494959219e3,Futballarium
13510326723554183e3,Ugot Bruncherie
13538194661120209e3,Ramen House
13545471817364947e3,Sabor Persa
13562164793404144e3,Abac
1356303011710738e4,Chill Bar
1357034928267448e4,La Taverneta
13580450450250076e3,Lucy S Burger & Tapas
13594559663509918e3,Cerveceria Catalana
1361401354801201e4,Bene Assai
13631421703710812e3,Mont
13651065624820093e3,Platerets
13658969200472777e3,Sant Antoni Glorios
13660298506819287e3,Eroica Caffe
13728361711912704e3,La Terraza Miro
13737775501096505e3,Setze
13764901566036961e3,Kibuka
13772647061233308e3,Meneghina
1378730467355674e4,Dolceria De La Colmena
13829182004768625e3,Mino
13870273884092826e3,Boraz
1388037021233864e4,Tapeo
13882970104964944e3,Moritz
13905820315919473e3,L Antic Bocoi Del Gotic
13939753795634555e3,The Sopa Boba : Tapes Eixample
1396972154271777e4,La Plata
13994194558962393e3,Restaurante Dominicano
14010788751071764e3,Can Mano
1404657577836374e4,Casa Amalia 1950
14059695439855133e3,Story
14088306485989128e3,Cinc Sentits
14156695847421884e3,La Adelita Botanero
1420519338362146e4,La Gastronomica
14225128469538718e3,Paco Alcalde
14232104733733896e3,Centric
14240349448409647e3,Pincho J
14264599519929825e3,Tandoori Nights
1428300457509171e4,La Gastronomica Burgers
14301069624566112e3,Chivuo S Gracia Slow Street Food & Craft Beer
14353262490933862e3,Bosque Palermo
14386701048320807e3,Clemen S Boqueria
14407696689626198e3,La Nueva Marquesa
14419676237727767e3,La Taqueria
14422303612041263e3,Shunka
14484899323075408e3,Zeeshan Kebabish
14496140915959058e3,El Rincon
14543118558481981e3,Santagustina
14597744043951309e3,Paisano Bistro
1460055700124425e4,Sagradas Tapas
14616397093105689e3,Casa Xica I A Vins
14636651286289943e3,Flamenco Patio Andaluz
14659418504477862e3,Mako
14659641174712338e3,Pasteleria Jansana Gluten Free
14694457148592036e3,Senor Pina Terraza Gotico | Poke Bowl Brunch & Acai
14719812709025606e3,Salterio
14745624359667945e3,Taquerías Tamarindo
14785570359547021e3,Bodega Vasconia
14804781657062656e3,Tino Esto No Es Una Pizzeria
14827140925213018e3,Cala Rossita
14828975782673453e3,Bodega La Palma
14860449343257457e3,Agust Gastrobar
14881488593859054e3,Mood Rooftop &
14895914558742333e3,De Paso By Tras Paso
14906159667842906e3,Messie Sin Gluten Gracia Gluten Free
14937912160211665e3,Minamo
14958866456168182e3,Quinoa Vegetaria
15053607332181891e3,Casa Lolea
15070676966517879e3,Kook
15071896902537314e3,Kserol
15097252886573533e3,Zaza
15121542844377962e3,El Cubano Machin
1512493821704216e4,Bilbao
15134923711204604e3,Roux
15141939440289706e3,Hummus
15243946114243674e3,Buenas Migas Passeig De Gracia
1525512187297487e4,DelaCrem
15272806370136576e3,Avocado
15293310885535711e3,Tapa Tapa Glories
15296363819800922e3,Windsor
15305110022539342e3,Tosca Del Carme
15318730456897628e3,Flax & Kale Passage
15372623811977798e3,Equilibri Bcn
15396701684764144e3,El Manolo
1540385291546496e4,El Xiringo
15544156681732995e3,Anaeli Cafe
1556260179352828e4,El Born
1556684320935376e4,Parallelo
155770622651262e5,Kappo
15636190810974458e3,Koh I Noor India
15647702808117754e3,Chivuo S (Gracia)
15727649823918369e3,Jara Sushi Take Away
15752493333469456e3,El Pachuco
15760380610257283e3,Revoltosa
15778410272292352e3,Bordeaux Cuina Oberta
1581566381426035e4,La Brochette
15833432803296809e3,Ca L Andreu
15840282372480778e3,The George Payne
15864158974771098e3,Cera 23
15867704129694624e3,Carballeira
15868562533498124e3,Brunch & Bakery
15934487125431286e3,La Paradeta Paral*lel
15935372337923385e3,Airbar
15992294274381249e3,MexGal
16002822748264511e3,Carabela Cafe
16006816931557997e3,O Retorno
1602559283245373e4,Mimo S Born
16044738895637471e3,Art I Sa
16049895726947295e3,Enoteca Paco Perez
16067370600493206e3,Can Xurrades
16071654403106157e3,Solomillo
16084621515866173e3,Del Claris Terrace
16085390524809263e3,Barrachina Meat & Burger
16101099204829299e3,Addis Abeba
1611361957390264e4,Can Sardi
1611644887038769e4,Aqistoi
16138436583296926e3,National Burger
16149664997154429e3,Frankie Gallo Cha Cha Cha
16158859967284447e3,Cafes El Magnifico
16176887182837776e3,Marisqueria Esthvan
16180001866939396e3,La Forquilla
16223763991916077e3,Rokelin Gourmet
16271167548623456e3,The Sopa Boba
16284416203277754e3,El Vaso de Oro
16285045537247574e3,My Fucking
1629163476201427e4,Single Fin Sagrada Familia Poke Gourmet
1630829352838223e4,Petra
16343711030916966e3,Andele Paris
16372106646937545e3,A Casa Mia Trattoria
16435171432250534e3,Uma
16436552737187981e3,La Confiteria
16451999687326058e3,Boca Grande
16454636232875962e3,Nineteen
16460270234305712e3,Anita Flow
16471085565631382e3,Gatsby
16492350894943175e3,Chill
16502302684882092e3,Narciso
16527007972985014e3,El Bosc De Les Fades
1659774926633351e4,Sagas Pagesos I Cuiners
16640792474937799e3,Boa Bao
